stock_id,liquidity_regime,n_time_ids,ols_median_QLIKE,ols_median_MSE,ols_mean_beta_d,ols_mean_beta_w,ols_mean_beta_m,ols_mean_r2,wls_median_QLIKE,wls_median_MSE,wls_mean_beta_d,wls_mean_beta_w,wls_mean_beta_m,wls_mean_r2,winner,median_QLIKE,median_MSE
47,liquid,1915,-7.006312734607212,7.434837107630965e-09,0.088241918852998,0.1772215363680554,-1.2546787000769812,0.2358167497938008,-6.997992349666153,7.530803318555537e-09,0.0714916311841893,0.0843159274961619,-1.167568807265056,0.2361793161696581,OLS,-7.006312734607212,7.434837107630965e-09
48,mixed,3810,-6.391719768093432,2.2592241438196073e-08,0.0970528523062208,0.157944819598134,-1.2349251269068449,0.2302517762454301,-6.389632394356436,2.21709235175692e-08,0.0784977147907356,0.0807754838910744,-1.1744870563429028,0.2291427099562641,OLS,-6.391719768093432,2.21709235175692e-08
50,liquid,1915,-6.683838459913897,5.809942116013159e-09,0.1421269331590711,0.3042478558569165,-1.4007822051879506,0.239654505582318,-6.683546772411685,5.793446257309731e-09,0.1228853404607132,0.2200042675820617,-1.3184581251147436,0.2392555686822472,OLS,-6.683838459913897,5.793446257309731e-09
56,mixed,3830,-6.030354665183985,1.931061718395067e-08,0.117070048584638,0.2606480454050847,-1.36168418731441,0.2398988818298677,-6.029771292672588,1.95704173982716e-08,0.099528193553454,0.1790215260857297,-1.2903842326457071,0.2392824119530858,OLS,-6.030354665183985,1.931061718395067e-08
59,mixed,3824,-6.322219733292144,2.483519115127745e-08,0.1072028184225289,0.2180654427197763,-1.3040159121091284,0.2335232501466468,-6.324783423108649,2.4376223477139163e-08,0.0906819298100595,0.1367646445977059,-1.235103418245349,0.2320664663698451,WLS,-6.324783423108649,2.4376223477139163e-08
62,illiquid,1906,-5.415235305712442,1.3970665174746044e-07,0.1303423621808222,0.2090967883124826,-1.291353486688461,0.2285679560553332,-5.415231717755767,1.338474149697809e-07,0.1131727735462139,0.125907325635765,-1.2123023996579398,0.226411374648342,OLS,-5.415235305712442,1.338474149697809e-07
64,liquid,1915,-7.052932838421483,4.682492185108719e-09,0.1262085082881649,0.2088433284121499,-1.2899405061438838,0.2325422321607495,-7.047398090963115,4.70191198339733e-09,0.1076276440751756,0.1195030655482161,-1.2055319076236768,0.2312926399984555,OLS,-7.052932838421483,4.682492185108719e-09
69,liquid,1915,-7.044067451368714,2.5205295865942954e-09,0.150225554520453,0.2451468776750424,-1.3377762382962286,0.2402497871698742,-7.04352011230938,2.4959961745164903e-09,0.1315957924554988,0.164701675579138,-1.268305897088308,0.2392306003216811,OLS,-7.044067451368714,2.4959961745164903e-09
70,mixed,3815,-6.573378241065371,1.553229767827253e-08,0.0904069954642109,0.1747734191919335,-1.267921775459363,0.2330163053225177,-6.568497392953447,1.517822560337488e-08,0.0728657729488814,0.0900178546253056,-1.1996535570960123,0.2321196528801558,OLS,-6.573378241065371,1.517822560337488e-08
72,mixed,3802,-6.476270647336804,2.0612535625842967e-08,0.1068418533406132,0.1732664590725317,-1.2658657205498134,0.2323701108387563,-6.474752957533896,2.0110244513880762e-08,0.0887543194917653,0.0979883216201337,-1.2045302798754187,0.2314573320109457,OLS,-6.476270647336804,2.0110244513880762e-08
